% 1. Title: Kern Music Score Database Training Set
   % 
   % 2. Sources:
   %      (a) Creator: Tom Richmond
   %      (b) Source: Kern Database
   %      (b) Date: January, 2018
   % 
   @RELATION kern

   @ATTRIBUTE freqUni  NUMERIC
   @ATTRIBUTE freqStep   NUMERIC
   @ATTRIBUTE freqThirds  NUMERIC
   @ATTRIBUTE freqFourths   NUMERIC
   @ATTRIBUTE freqFifths  NUMERIC
   @ATTRIBUTE freqSixths   NUMERIC
   @ATTRIBUTE freqSevenths  NUMERIC
   @ATTRIBUTE freqOctaves   NUMERIC
   @ATTRIBUTE commonIntFreq   NUMERIC
   @ATTRIBUTE class        {Medieval, Renaissance, Baroque, Classical, Romantic, Modern}

   @data

0.17,0.59,0.15,0.04,0.02,0.02,0.01,0.0,0.59,Medieval
0.23,0.57,0.1,0.03,0.06,0.0,0.0,0.01,0.57,Medieval
0.19,0.6,0.16,0.03,0.02,0.0,0.0,0.0,0.6,Medieval
0.11,0.64,0.16,0.05,0.03,0.0,0.0,0.01,0.64,Medieval
0.17,0.61,0.14,0.04,0.02,0.0,0.0,0.02,0.61,Medieval
0.26,0.52,0.14,0.04,0.03,0.0,0.0,0.01,0.52,Medieval
0.18,0.51,0.21,0.06,0.03,0.0,0.01,0.0,0.51,Medieval
0.24,0.57,0.11,0.03,0.03,0.02,0.0,0.0,0.57,Medieval
0.18,0.61,0.1,0.07,0.04,0.0,0.0,0.0,0.61,Medieval
0.23,0.57,0.1,0.08,0.01,0.0,0.01,0.0,0.57,Medieval
0.25,0.46,0.12,0.08,0.07,0.01,0.0,0.01,0.46,Renaissance
0.24,0.5,0.16,0.05,0.03,0.01,0.0,0.01,0.5,Renaissance
0.33,0.46,0.09,0.09,0.02,0.0,0.0,0.01,0.46,Renaissance
0.3,0.45,0.11,0.1,0.03,0.0,0.0,0.01,0.45,Renaissance
0.42,0.37,0.1,0.06,0.03,0.0,0.0,0.02,0.42,Renaissance
0.23,0.46,0.18,0.04,0.09,0.0,0.0,0.0,0.46,Renaissance
0.31,0.42,0.18,0.05,0.04,0.0,0.0,0.0,0.42,Renaissance
0.26,0.43,0.16,0.06,0.02,0.01,0.0,0.06,0.43,Renaissance
0.29,0.46,0.1,0.09,0.04,0.01,0.0,0.01,0.46,Renaissance
0.28,0.45,0.09,0.14,0.03,0.0,0.0,0.01,0.45,Renaissance
0.37,0.3,0.12,0.05,0.04,0.03,0.02,0.07,0.37,Baroque
0.36,0.33,0.08,0.08,0.05,0.04,0.01,0.05,0.36,Baroque
